filename,objectID,name,xmin,ymin,xmax,ymax
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000000.jpg,object_00,Repair,141,64,512,512
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000000.jpg,object_01,D20,169,1,512,180
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000000.jpg,object_02,D20,419,180,512,295
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000000.jpg,object_03,D00,124,1,148,45
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000001.jpg,object_00,D40,203,214,238,294
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000002.jpg,object_00,D00,202,187,244,512
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000002.jpg,object_01,D00,198,1,254,141
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000003.jpg,object_00,D00,162,2,226,315
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000003.jpg,object_01,D00,367,349,423,509
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000003.jpg,object_02,D00,228,294,307,327
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000003.jpg,object_03,D00,157,331,223,425
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000003.jpg,object_04,D00,151,428,191,510
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000004.jpg,object_00,D40,115,93,137,109
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000004.jpg,object_01,Repair,1,137,511,419
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000005.jpg,object_00,D10,225,268,401,290
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000005.jpg,object_01,D10,385,249,509,280
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000005.jpg,object_02,D10,1,318,239,346
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000005.jpg,object_03,D10,65,64,216,95
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000006.jpg,object_00,D10,196,384,333,400
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000006.jpg,object_01,D10,385,324,512,367
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000006.jpg,object_02,D00,427,283,456,332
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000006.jpg,object_03,D00,501,125,511,145
