,filename,objectID,name,xmin,ymin,xmax,ymax
0,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000000.jpg,object_00,Repair,141,64,512,512
1,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000000.jpg,object_01,D20,169,1,512,180
2,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000000.jpg,object_02,D20,419,180,512,295
3,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000000.jpg,object_03,D00,124,1,148,45
4,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000001.jpg,object_00,D40,203,214,238,294
5,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000002.jpg,object_00,D00,202,187,244,512
6,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000002.jpg,object_01,D00,198,1,254,141
7,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000003.jpg,object_00,D00,162,2,226,315
8,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000003.jpg,object_01,D00,367,349,423,509
9,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000003.jpg,object_02,D00,228,294,307,327
10,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000003.jpg,object_03,D00,157,331,223,425
11,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000003.jpg,object_04,D00,151,428,191,510
12,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000004.jpg,object_00,D40,115,93,137,109
13,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000004.jpg,object_01,Repair,1,137,511,419
14,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000005.jpg,object_00,D10,225,268,401,290
15,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000005.jpg,object_01,D10,385,249,509,280
16,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000005.jpg,object_02,D10,1,318,239,346
17,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000005.jpg,object_03,D10,65,64,216,95
18,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000006.jpg,object_00,D10,196,384,333,400
19,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000006.jpg,object_01,D10,385,324,512,367
20,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000006.jpg,object_02,D00,427,283,456,332
21,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000006.jpg,object_03,D00,501,125,511,145
22,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000007.jpg,object_00,Repair,1,37,255,439
23,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000007.jpg,object_01,D40,264,264,280,288
24,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000007.jpg,object_02,D20,266,228,512,412
25,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000007.jpg,object_03,D20,268,112,386,183
26,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000007.jpg,object_04,D00,97,425,134,512
27,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000008.jpg,object_00,D00,218,194,272,512
28,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000008.jpg,object_01,D20,176,115,431,196
29,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000008.jpg,object_02,D00,243,10,276,113
30,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000009.jpg,object_00,D00,44,343,93,510
31,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000010.jpg,object_00,D40,236,75,262,95
32,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000010.jpg,object_01,D40,224,79,233,92
33,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000011.jpg,object_00,D00,143,1,189,228
34,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000011.jpg,object_01,D00,105,227,183,396
35,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000011.jpg,object_02,D00,266,411,333,510
36,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000011.jpg,object_03,D00,281,283,315,447
37,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000011.jpg,object_04,D00,330,349,416,503
38,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000011.jpg,object_05,D00,191,208,273,243
39,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000012.jpg,object_00,D00,355,211,504,507
40,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000012.jpg,object_01,D00,72,37,221,507
41,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000013.jpg,object_00,D10,1,241,509,351
42,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000013.jpg,object_01,D00,421,292,476,505
43,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000014.jpg,object_00,D20,1,357,170,407
44,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000014.jpg,object_01,D10,169,368,404,429
45,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000014.jpg,object_02,D20,402,393,512,455
46,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000014.jpg,object_03,D10,57,77,502,142
47,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000015.jpg,object_00,Repair,1,25,512,379
48,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000016.jpg,object_00,D10,1,197,512,248
49,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000017.jpg,object_00,D00,28,1,193,512
50,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000017.jpg,object_01,D00,325,42,511,492
51,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000017.jpg,object_02,D10,209,40,317,55
52,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000018.jpg,object_00,D00,266,7,283,217
53,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000018.jpg,object_01,D10,399,226,512,244
54,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000018.jpg,object_02,D10,196,446,333,457
55,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000019.jpg,object_00,D10,14,59,90,75
56,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000019.jpg,object_01,D00,52,79,150,500
57,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000019.jpg,object_02,D10,103,50,203,65
58,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000020.jpg,object_00,D00,277,82,333,510
59,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000020.jpg,object_01,D10,1,217,302,241
60,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000020.jpg,object_02,D00,192,132,201,153
61,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000021.jpg,object_00,D10,1,401,511,454
62,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000022.jpg,object_00,D00,19,215,169,509
63,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000023.jpg,object_00,D10,1,259,512,348
64,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000024.jpg,object_00,D00,217,106,252,512
65,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000025.jpg,object_00,D00,159,190,175,259
66,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000025.jpg,object_01,Repair,43,3,167,74
67,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000025.jpg,object_02,Repair,17,11,90,46
68,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000025.jpg,object_03,Repair,155,312,444,511
69,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000025.jpg,object_04,D10,5,472,159,510
70,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000026.jpg,object_00,D00,200,1,233,512
71,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000026.jpg,object_01,D10,218,429,297,452
72,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000026.jpg,object_02,D10,420,462,512,511
73,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000027.jpg,object_00,D00,276,137,365,470
74,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000028.jpg,object_00,D00,201,31,234,512
75,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000029.jpg,object_00,D00,210,123,277,172
76,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000029.jpg,object_01,D00,279,133,401,173
77,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000029.jpg,object_02,D00,247,175,283,418
78,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000029.jpg,object_03,D10,2,281,247,362
79,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000029.jpg,object_04,D00,235,363,245,427
80,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000029.jpg,object_05,D00,246,428,353,505
81,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000030.jpg,object_00,D10,65,283,512,367
82,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000030.jpg,object_01,D00,1,288,68,416
83,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000030.jpg,object_02,D00,3,176,70,284
84,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000031.jpg,object_00,D10,40,271,512,320
85,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000031.jpg,object_01,D10,16,1,235,16
86,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000032.jpg,object_00,D00,11,125,200,461
87,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000032.jpg,object_01,D00,67,413,111,509
